ymd,high,low,tianqi,fengxiang,fengli,aqi,aqiInfo,aqiLevel
2015-10-23,26,20,多云,东北风~东风,微风,,,
2015-10-24,25,19,多云,东北风,微风,,,
2015-10-25,24,18,多云,东北风,微风,,,
2015-10-26,25,17,多云~阵雨,东南风~西北风,微风~3-4级,,,
2015-10-27,20,14,多云~晴,西北风,3-4级~微风,,,
2015-10-28,21,15,多云~小雨,北风~东南风,微风,,,
2015-10-29,17,15,小雨,东北风,微风~3-4级,,,
2015-10-30,19,15,阴,北风,3-4级~微风,,,
2015-10-31,18,13,阴~小雨,东北风,微风,,,
2015-11-01,15,11,小雨~多云,北风~西北风,微风,,,
2015-11-02,18,12,晴~多云,西北风~东北风,微风,,,
2015-11-03,20,12,多云,东风~东南风,微风,,,
2015-11-04,21,17,小雨,东南风,微风,,,
2015-11-05,24,19,多云~小雨,东风~东南风,微风,,,
2015-11-06,24,19,小雨,东南风~南风,微风,,,
2015-11-07,24,17,雷阵雨~阵雨,西南风~西北风,微风,,,
2015-11-08,16,13,小雨,西北风,微风,,,
2015-11-09,15,12,阴~多云,西北风,微风,,,
2015-11-10,16,11,多云~阴,西北风~北风,微风,,,
2015-11-11,17,13,阴,东北风,微风,,,
2015-11-12,18,15,小雨,北风~西北风,微风,,,
2015-11-13,17,14,阴,西北风,微风,,,
2015-11-14,17,12,阴~多云,西北风,微风,,,
2015-11-15,19,13,多云~阵雨,东南风~南风,微风~3-4级,,,
2015-11-16,21,16,小雨,南风~北风,微风,,,
2015-11-17,17,14,小雨,东北风,微风,,,
2015-11-18,17,14,小雨,北风,微风,,,
2015-11-19,16,13,小雨,北风,微风,,,
2015-11-20,17,14,小雨,东北风,微风,,,
2015-11-21,18,15,阵雨,东风~东北风,微风,,,
2015-11-22,19,16,阵雨,东风,微风,,,
2015-11-23,18,14,小雨,北风~东北风,微风~3-4级,,,
2015-11-24,15,7,小雨,东北风~北风,3-4级,,,
2015-11-25,10,3,多云~晴,西北风,微风,,,
2015-11-26,5,0,多云~晴,西北风,3-4级,,,
2015-11-27,6,0,晴~多云,西北风~西风,微风,,,
2015-11-28,12,7,阴~小雨,南风,微风,,,
2015-11-29,14,8,小雨~多云,南风~东北风,微风,,,
2015-11-30,15,9,多云,北风~东风,微风,,,
2016-08-01,34,28,多云,东南风,1-2级,32,优,1
2016-08-02,34,28,雷阵雨~小雨,东南风,1-2级,36,优,1
2016-08-03,31,26,中雨~阴,西南风,1-2级,35,优,1
2016-08-04,32,26,雷阵雨~阵雨,北风,1-2级,48,优,1
2016-08-05,32,27,雷阵雨~多云,东北风,1-2级,36,优,1
2016-08-06,33,27,多云,东南风,1-2级,32,优,1
2016-08-07,34,27,多云~阵雨,东南风,1-2级,24,优,1
2016-08-08,33,27,阵雨,东风,1-2级,23,优,1
2016-08-09,33,28,阵雨,东风,1-2级,26,优,1
2016-08-10,34,28,阵雨~多云,东南风,1-2级,23,优,1
2016-08-11,35,28,多云,东风,1-2级,29,优,1
2016-08-12,34,28,多云,东南风,1-2级,27,优,1
2016-08-13,35,28,多云~晴,东风,1-2级,28,优,1
2016-08-14,36,28,多云~晴,东南风,1-2级,42,优,1
2016-08-15,35,27,晴~多云,东南风,1-2级,33,优,1
2016-08-16,35,28,多云,东南风,1-2级,34,优,1
2016-08-17,35,28,多云,东南风,1-2级,35,优,1
2016-08-18,35,28,多云~晴,东南风,1-2级,38,优,1
2016-08-19,36,29,晴,东南风,1-2级,42,优,1
2016-08-20,36,28,雷阵雨~多云,东南风,1-2级,53,良,2
2016-08-21,35,28,雷阵雨~多云,东风,1-2级,47,优,1
2016-08-22,35,28,多云,东北风,1-2级,40,优,1
2016-08-23,34,26,多云,东北风,1-2级,43,优,1
2016-08-24,34,27,晴,东北风,1-2级,45,优,1
2016-08-25,35,27,多云,北风,1-2级,42,优,1
2016-08-26,34,26,阵雨,东北风,1-2级,41,优,1
2016-08-27,31,24,多云,北风,3-4级,43,优,1
2016-08-28,30,22,多云,西北风,3-4级,56,良,2
2016-08-29,31,23,多云,西北风,3-4级,51,良,2
2016-08-30,32,23,晴~多云,西北风,1-2级,59,良,2
2016-08-31,34,25,晴~多云,西南风,1-2级,76,良,2
2016-09-01,34,26,多云,西南风,1-2级,93,良,2
2016-09-02,35,26,多云,西风,1-2级,102,轻度污染,3
2016-09-03,35,25,晴~多云,东北风,1-2级,100,良,2
2016-09-04,33,25,多云~阵雨,东北风,1-2级,59,良,2
2016-09-05,31,25,小雨~阴,东北风,1-2级,45,优,1
2016-09-06,29,24,阵雨~中雨,东北风,1-2级,60,良,2
2016-09-07,25,22,小雨~多云,东北风,1-2级,54,良,2
2016-09-08,30,24,多云,西北风,1-2级,90,良,2
2016-09-09,31,24,多云~阴,东北风,1-2级,99,良,2
2016-09-10,29,23,阴~小雨,东南风,1-2级,73,良,2
2016-09-11,26,22,小雨,东风,1-2级,73,良,2
2016-09-12,29,23,多云,东北风,1-2级,51,良,2
2016-09-13,29,23,多云~小雨,东北风,1-2级,53,良,2
2016-09-14,24,22,中雨~小雨,东北风,1-2级,36,优,1
2016-09-15,25,23,大雨,东风,1-2级,20,优,1
2016-09-16,27,24,大雨~中雨,东南风,3-4级,18,优,1
2016-09-17,29,23,阵雨~阴,西北风,1-2级,26,优,1
2016-09-18,27,23,阵雨,北风,4-5级,53,良,2
2016-09-19,27,21,小雨~多云,北风,3-4级,43,优,1
2016-09-20,26,21,多云,北风,3-4级,43,优,1
2016-09-21,26,20,多云,北风,1-2级,37,优,1
2016-09-22,27,21,多云,东北风,1-2级,34,优,1
2016-09-23,27,22,多云,东风,1-2级,43,优,1
2016-09-24,27,22,多云,东风,1-2级,51,良,2
2016-09-25,29,24,多云,东风,1-2级,56,良,2
2016-09-26,30,24,阵雨,东风,1-2级,43,优,1
2016-09-27,30,24,阵雨~中雨,东风,1-2级,35,优,1
2016-09-28,28,22,中雨,东北风,3-4级,26,优,1
2016-09-29,25,22,大雨~中雨,东北风,3-4级,27,优,1
2016-09-30,29,24,阵雨~多云,东南风,1-2级,52,良,2
2016-10-01,30,25,多云,东南风,1-2级,76,良,2
2016-10-02,30,23,多云~阵雨,东南风,1-2级,33,优,1
2016-10-03,27,23,阵雨~阴,西北风,1-2级,47,优,1
2016-10-04,27,22,阴~多云,北风,3-4级,32,优,1
2016-10-05,28,22,多云,西北风,1-2级,56,良,2
2016-10-06,26,22,小雨~阵雨,东北风,3-4级,46,优,1
2016-10-07,26,21,小雨~中雨,东风,1-2级,42,优,1
2016-10-08,23,18,小雨~阴,北风,4-5级,37,优,1
2016-10-09,21,18,多云,东北风,3-4级,39,优,1
2016-10-10,22,18,多云~阴,东北风,1-2级,34,优,1
2016-10-11,23,19,阴,东北风,1-2级,34,优,1
2016-10-12,22,19,阴,东北风,1-2级,44,优,1
2016-10-13,23,19,阴~小雨,东北风,1-2级,47,优,1
2016-10-14,22,20,小雨,东北风,1-2级,47,优,1
2016-10-15,24,20,小雨,东风,1-2级,39,优,1
2016-10-16,26,20,小雨~阴,北风,1-2级,71,良,2
2016-10-17,25,20,阴~多云,东北风,1-2级,55,良,2
2016-10-18,24,20,小雨,东北风,1-2级,35,优,1
2016-10-19,24,20,小雨,东风,1-2级,51,良,2
2016-10-20,23,21,阵雨,东风,1-2级,38,优,1
2016-10-21,23,20,中雨,东风,1-2级,25,优,1
2016-10-22,23,20,中雨~大雨,东北风,3-4级,19,优,1
2016-10-23,22,18,小雨~阴,北风,3-4级,40,优,1
2016-10-24,23,20,阴,东南风,1-2级,42,优,1
2016-10-25,23,20,阴~小雨,西北风,1-2级,49,优,1
2016-10-26,21,18,中雨~阵雨,东北风,3-4级,45,优,1
2016-10-27,22,19,中雨~小雨,东北风,3-4级,31,优,1
2016-10-28,20,16,小雨,北风,3-4级,40,优,1
2016-10-29,16,13,小雨~阴,北风,3-4级,38,优,1
2016-10-30,18,14,阴~小雨,东北风,1-2级,39,优,1
2016-10-31,17,13,小雨~阴,北风,1-2级,33,优,1
2016-11-01,15,10,多云~晴,北风,3-4级,32,优,1
2016-11-02,17,11,晴,北风,1-2级,46,优,1
2016-11-03,18,12,晴,东风,1-2级,84,良,2
2016-11-04,20,14,晴~多云,东南风,1-2级,96,良,2
2016-11-05,23,15,晴,南风,1-2级,91,良,2
2016-11-06,23,16,多云,东风,1-2级,98,良,2
2016-11-07,23,14,小雨~中雨,东北风,1-2级,53,良,2
2016-11-08,14,10,小雨~阴,北风,4-5级,35,优,1
2016-11-09,13,10,小雨~阴,东北风,1-2级,33,优,1
2016-11-10,15,9,多云~晴,西北风,1-2级,48,优,1
2016-11-11,19,14,晴~多云,南风,1-2级,74,良,2
2016-11-12,20,14,多云~阴,南风,1-2级,62,良,2
2016-11-13,20,16,小雨~多云,南风,1-2级,74,良,2
2016-11-14,19,14,小雨~阴,北风,1-2级,115,轻度污染,3
2016-11-15,17,12,多云,东北风,3-4级,106,轻度污染,3
2016-11-16,18,15,多云~阵雨,东风,1-2级,40,优,1
2016-11-17,17,16,小雨,东风,1-2级,33,优,1
2016-11-18,22,17,小雨,南风,1-2级,84,良,2
2016-11-19,23,17,阴~阵雨,北风,1-2级,141,轻度污染,3
2016-11-20,18,15,阵雨,东北风,1-2级,70,良,2
2016-11-21,20,13,小雨,东北风,1-2级,47,优,1
2016-11-22,14,7,小雨,北风,4-5级,24,优,1
2016-11-23,9,5,小雨~阴,北风,3-4级,29,优,1
2016-11-24,9,5,多云~阴,北风,3-4级,68,良,2
2016-11-25,12,8,小雨,东北风,1-2级,63,良,2
2016-11-26,11,6,小雨~阴,北风,3-4级,48,优,1
2016-11-27,12,7,多云~晴,西北风,1-2级,124,轻度污染,3
2016-11-28,13,9,多云,北风,1-2级,97,良,2
2016-11-29,13,10,阴~小雨,东北风,1-2级,44,优,1
2016-11-30,15,8,阴~多云,西北风,1-2级,71,良,2
